Rank,Name,Year,Genre,Publisher,Global_Sales
1619,Farming Simulator 2015,2014,Simulation,Focus Home Interactive,1230000
1632,Fallout 4,2015,Role-Playing,Bethesda Softworks,8663000
1719,Spore,2008,Strategy,Electronic Arts,1170000
1736,Football Manager 2013,2012,Sports,Sega,1170000
1743,Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks,6460000
1763,Worldwide Soccer Manager 2009,2008,Simulation,Sega,1150000
1771,Call of Duty 4: Modern Warfare,2007,Shooter,Activision,1150000
1831,Worldwide Soccer Manager 2008,2007,Sports,Russel,1120000
1884,Empire: Total War,2009,Strategy,Sega,1090000
1898,Grand Theft Auto V,2015,Action,Take-Two Interactive,56080000
1926,Championship Manager 99/00,1999,Sports,Eidos Interactive,1070000
1959,Diablo II: Lord of Destruction,2001,Role-Playing,Vivendi Games,1060000
2024,Tomb Raider,2013,Action,Eidos Interactive,8370000
2049,Championship Manager 3,2003,Sports,Eidos Interactive,1010000
2104,Farming Simulator 2013,2012,Simulation,Focus Home Interactive,990000
2105,Fallout 3,2008,Role-Playing,Bethesda Softworks,2190000
2108,Far Cry 3,2012,Shooter,Ubisoft,980000
2122,Grand Theft Auto: San Andreas,2005,Action,Take-Two Interactive,980000
2133,Mass Effect 3,2012,Role-Playing,Electronic Arts,970000
2170,The Witcher 2: Assassins of Kings,2011,Action,Namco Bandai Games,960000
2204,Assassin's Creed III,2012,Action,Ubisoft,940000
2226,Borderlands 2,2012,Shooter,Take-Two Interactive,1030000
2262,Assassin's Creed,2008,Adventure,Ubisoft,920000
2317,The Elder Scrolls Online,2014,Role-Playing,Bethesda Softworks,900000
2349,Call of Duty: Modern Warfare 2,2009,Shooter,Activision,890000
2359,Grand Theft Auto IV,2008,Action,Take-Two Interactive,880000
2635,The 7th Guest,1992,Adventure,Virgin Interactive,780000
2701,Portal 2,2011,Shooter,Valve Software,12260000
2714,Assassin's Creed: Revelations,2011,Action,Ubisoft,760000
2730,Total War: Rome II,2013,Strategy,Sega,760000
2781,Crysis 2,2011,Action,Electronic Arts,740000
2799,Call of Duty: Ghosts,2013,Shooter,Activision,730000
2810,Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,730000
2826,XCOM: Enemy Unknown,2012,Strategy,Take-Two Interactive,5720000
2857,Crysis,2007,Shooter,Electronic Arts,720000
2858,Battlefield: Bad Company 2,2010,Shooter,Electronic Arts,710000
2891,Football Manager 2014,2013,Sports,Sega,710000
2963,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,690000
2971,The Sims: Medieval,2011,Simulation,Electronic Arts,690000
3003,Mass Effect,2008,Role-Playing,Electronic Arts,680000
3028,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,12670000
3032,RIFT,2011,Role-Playing,Unknown,670000
3036,BioShock Infinite,2013,Shooter,Take-Two Interactive,10670000
3042,Command & Conquer: Red Alert 3,2008,Strategy,Electronic Arts,670000
3050,The Sims 3: High-End Loft Stuff,2010,Simulation,Electronic Arts,670000
3072,Rocksmith 2014,2013,Misc,Ubisoft,660000
3075,Napoleon: Total War,2010,Strategy,Sega,660000
3134,Crysis 3,2013,Shooter,Electronic Arts,640000
3156,Dragon Age II,2011,Action,Electronic Arts,640000
3220,The Sims 3: Generations,2011,Simulation,Electronic Arts,630000
3249,Far Cry 4,2014,Shooter,Ubisoft,620000
3279,Tomb Raider III: Adventures of Lara Croft,1998,Action,Eidos Interactive,620000
3384,Dead Space,2008,Action,Electronic Arts,590000
3392,Assassin's Creed: Brotherhood,2011,Action,Ubisoft,590000
3400,Total War: Shogun 2,2011,Strategy,Sega,590000
3432,Deus Ex: Human Revolution,2011,Shooter,Square Enix,590000
3455,The Sims 3: World Adventures,2009,Simulation,Electronic Arts,580000
3459,Titanfall,2014,Shooter,Electronic Arts,580000
3528,Assassin's Creed II,2010,Action,Ubisoft,570000
3658,Assassin's Creed: Unity,2014,Action,Ubisoft,550000
3757,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,540000
3791,Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,530000
3873,The Sims 2: Open for Business,2006,Simulation,Electronic Arts,520000
3880,Dragon Age: Origins,2009,Role-Playing,Electronic Arts,510000
3890,StarCraft II: Legacy of the Void,2015,Strategy,Activision,510000
3936,Euro Truck Simulator,2008,Simulation,Rondomedia,510000
3938,Dishonored,2012,Action,Bethesda Softworks,6510000
4050,Medal of Honor,2010,Shooter,Electronic Arts,490000
4064,Sniper: Art of Victory,2008,Shooter,City Interactive,490000
4078,Far Cry 2,2008,Action,Ubisoft,490000
4109,World of Warcraft: Warlords of Draenor,2014,Action,Activision Blizzard,480000
4124,Football Manager 2015,2014,Simulation,Sega,480000
4182,"Warhammer 40,000: Dawn of War II",2009,Strategy,THQ,470000
4194,The Sims 3: Ambitions,2010,Simulation,Electronic Arts,470000
4203,FIFA 12,2011,Sports,Electronic Arts,470000
4209,The Sims 3: Outdoor Living Stuff,2011,Simulation,Electronic Arts,470000
4246,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,460000
4335,Watch Dogs,2014,Action,Ubisoft,450000
4505,FIFA 14,2013,Sports,Electronic Arts,430000
4511,Overwatch,2016,Shooter,Activision,430000
4535,Max Payne 3,2012,Shooter,Take-Two Interactive,430000
4550,Microsoft Flight Simulator X,2006,Simulation,Microsoft Game Studios,430000
4686,Tomb Raider: The Last Revelation,1998,Action,Eidos Interactive,410000
4691,BioShock,2007,Shooter,Take-Two Interactive,410000
4742,Call of Duty: Advanced Warfare,2014,Shooter,Activision,410000
4764,Duke Nukem Forever,2011,Shooter,Take-Two Interactive,410000
4775,FIFA Soccer 13,2012,Action,Electronic Arts,410000
4841,Mafia II,2010,Action,Take-Two Interactive,400000
4869,Mass Effect 2,2010,Role-Playing,Electronic Arts,400000
4928,Age of Empires III,2005,Strategy,Microsoft Game Studios,390000
4938,Dawn of Discovery,2009,Simulation,Ubisoft,390000
5059,Saints Row: The Third,2011,Action,THQ,380000
5073,Need for Speed: Hot Pursuit,2010,Racing,Electronic Arts,380000
5106,Tom Clancy's The Division,2016,Shooter,Ubisoft,370000
5120,Rage,2011,Shooter,Bethesda Softworks,370000
5134,Medieval II: Total War Gold Edition,2008,Strategy,Sega,370000
5152,Sid Meier's Civilization: Beyond Earth,2014,Strategy,Take-Two Interactive,370000
5153,Need for Speed: The Run,2011,Action,Electronic Arts,370000
5160,Left 4 Dead 2,2009,Shooter,Valve Software,14370000
5217,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,360000
5244,Company of Heroes 2,2013,Strategy,THQ,360000
5423,The Sims 3: Town Life Stuff,2011,Simulation,Electronic Arts,340000
5487,Medal of Honor: Warfighter,2012,Action,Electronic Arts,330000
5575,Dead Space 2,2011,Shooter,Electronic Arts,330000
5580,The Witcher: Enhanced Edition,2008,Role-Playing,Atari,320000
5584,Batman: Arkham Origins,2013,Action,Warner Bros. Interactive Entertainment,320000
5608,Batman: Arkham Asylum,2009,Action,Eidos Interactive,320000
5621,The Settlers 7: Paths to a Kingdom,2010,Strategy,Ubisoft,320000
5700,Fable III,2011,Role-Playing,Microsoft Game Studios,320000
5702,Might & Magic Heroes VI,2011,Role-Playing,Ubisoft,310000
5761,Football Manager 2016,2015,Simulation,Sega,310000
5788,Kingdoms of Amalur: Reckoning,2012,Role-Playing,Electronic Arts,310000
5843,1701 A.D.,2006,Simulation,Deep Silver,300000
5871,The Sims 2,2004,Simulation,Electronic Arts,300000
5902,Need for Speed: Most Wanted,2005,Racing,Electronic Arts,300000
5913,FIFA 15,2014,Sports,Electronic Arts,300000
5921,SimCity 4,2003,Simulation,Electronic Arts,300000
6034,World of Tanks,2011,Shooter,Wargaming.net,290000
6073,Borderlands: The Pre-Sequel,2014,Shooter,Take-Two Interactive,290000
6089,World of Warcraft: Legion,2016,Role-Playing,Activision,290000
6209,RollerCoaster Tycoon 3,2004,Strategy,Atari,280000
6237,Mass Effect Trilogy,2012,Action,Electronic Arts,280000
6254,R.U.S.E.,2010,Strategy,Ubisoft,280000
6300,The Evil Within,2014,Action,Bethesda Softworks,270000
6343,Tropico 4,2011,Strategy,Kalypso Media,270000
6355,Need for Speed Rivals,2013,Racing,Electronic Arts,270000
6468,Zoo Tycoon 2: Ultimate Collection,2008,Strategy,Microsoft Game Studios,260000
6507,The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive,260000
6594,Silent Hunter 5: Battle of the Atlantic,2010,Simulation,Ubisoft,260000
6598,LEGO Star Wars III: The Clone Wars,2011,Action,LucasArts,260000
6707,L.A. Noire: The Complete Edition,2011,Adventure,Take-Two Interactive,250000
6709,Hitman: Absolution,2012,Action,Square Enix,250000
6745,Anno 2205,2015,Strategy,Ubisoft,250000
6796,Homefront,2011,Shooter,THQ,240000
6839,Metro 2033,2010,Shooter,THQ,240000
6919,Angry Birds,2011,Puzzle,Focus Home Interactive,240000
6952,DC Universe Online,2011,Role-Playing,Sony Online Entertainment,240000
6989,Total War: Attila,2015,Strategy,Sega,230000
7052,Call of Duty: Black Ops 3,2015,Shooter,Activision,230000
7061,Risen 2: Dark Waters,2012,Role-Playing,Deep Silver,230000
7135,Spec Ops: The Line,2012,Shooter,Take-Two Interactive,230000
7201,LEGO The Lord of the Rings,2012,Action,Warner Bros. Interactive Entertainment,220000
7213,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,220000
7267,Dead Island,2011,Action,Deep Silver,220000
7308,EVE Online,2003,Role-Playing,CCP,220000
7486,Defiance,2013,Shooter,Trion Worlds,210000
7523,Two Worlds II,2011,Role-Playing,Unknown,200000
7534,"Warhammer 40,000: Space Marine",2011,Shooter,THQ,200000
7563,Assassin's Creed Syndicate,2015,Action,Ubisoft,200000
7566,XCOM 2,2016,Strategy,Take-Two Interactive,200000
7613,Star Wars: Battlefront,2004,Shooter,LucasArts,200000
7643,Total War: Shogun 2 - Fall of the Samurai,2012,Strategy,Sega,200000
7684,South Park: The Stick of Truth,2014,Role-Playing,Ubisoft,200000
7728,Shutter Island,2009,Adventure,Merscom LLC,200000
7746,Metro: Last Light,2013,Action,Deep Silver,190000
7763,Aliens vs Predator,2010,Shooter,Sega,190000
7770,The Sims 4: Get Together,2015,Simulation,Electronic Arts,190000
7800,Supreme Commander 2,2010,Strategy,Square Enix,190000
7828,Tom Clancy's Splinter Cell: Blacklist,2013,Action,Ubisoft,190000
7853,Need for Speed: Shift 2 Unleashed,2011,Racing,Electronic Arts,190000
7874,Saints Row IV,2013,Action,Deep Silver,6190000
7881,NBA 2K11,2010,Action,Take-Two Interactive,190000
7923,Arcania: Gothic 4,2010,Role-Playing,JoWood Productions,190000
7932,F1 2011,2011,Racing,Codemasters,190000
7951,Call of Duty: World at War,2008,Shooter,Activision,190000
7998,The Lord of the Rings: War in the North,2011,Action,Warner Bros. Interactive Entertainment,180000
8029,Evolve,2015,Shooter,Take-Two Interactive,180000
8035,Borderlands,2009,Shooter,Take-Two Interactive,180000
8042,Company of Heroes: Anthology,2009,Strategy,THQ,180000
8058,Driver: San Francisco,2011,Racing,Ubisoft,180000
8077,Dying Light,2015,Action,Warner Bros. Interactive Entertainment,180000
8096,FIFA Soccer 11,2010,Sports,Electronic Arts,180000
8097,LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,180000
8116,Aliens: Colonial Marines,2013,Shooter,Sega,180000
8119,Dark Souls II,2014,Role-Playing,Namco Bandai Games,180000
8129,Tom Clancy's Ghost Recon: Future Soldier,2012,Shooter,Ubisoft,180000
8132,Brink,2011,Shooter,Bethesda Softworks,180000
8136,FIFA 16,2015,Sports,Electronic Arts,180000
8140,Doom (2016),2016,Shooter,Bethesda Softworks,180000
8188,Star Wars: Battlefront II,2005,Shooter,LucasArts,180000
8219,Monkey Island: Special Edition Collection,2011,Adventure,LucasArts,170000
8251,Dungeon Siege III,2011,Role-Playing,Square Enix,170000
8263,The Secret World,2012,Role-Playing,Funcom,170000
8296,Age of Empires III: Complete Collection,2009,Strategy,Microsoft Game Studios,170000
8352,Sid Meier's Civilization IV,2005,Strategy,Take-Two Interactive,170000
8445,Wildstar,2014,Role-Playing,NCSoft,170000
8453,The Sims 3: Seasons,2012,Simulation,Electronic Arts,170000
8580,NBA 2K12,2011,Sports,Take-Two Interactive,160000
8600,The Crew,2014,Racing,Ubisoft,160000
8618,Bulletstorm,2011,Shooter,Electronic Arts,160000
8654,Sniper: Ghost Warrior,2010,Shooter,City Interactive,160000
8679,DiRT 3,2011,Racing,Codemasters,160000
8700,Darksiders II,2012,Action,Nordic Games,160000
8727,F.E.A.R. 3,2011,Shooter,Warner Bros. Interactive Entertainment,150000
8748,Deponia,2012,Adventure,Daedalic,150000
8795,Darksiders,2010,Action,THQ,150000
8824,The Sims Medieval: Pirates and Nobles,2011,Simulation,Electronic Arts,150000
8846,Terraria,2011,Action,Unknown,40150000
8930,F1 2012,2012,Racing,Codemasters,150000
8962,Alien: Isolation,2014,Shooter,Sega,150000
9037,Dragon Age: Origins - Ultimate Edition,2010,Role-Playing,Electronic Arts,140000
9048,ArmA II,2009,Shooter,505 Games,140000
9057,Age of Empires: Collector's Edition,2000,Strategy,Ubisoft,140000
9064,The Orange Box,2007,Shooter,Electronic Arts,140000
9078,Star Wars: Knights of the Old Republic,2003,Role-Playing,LucasArts,140000
9110,Risen,2009,Role-Playing,Deep Silver,140000
9138,Just Cause 3,2015,Action,Square Enix,140000
9201,The Darkness II,2012,Shooter,Take-Two Interactive,140000
9232,Cities: Skylines,2015,Simulation,Paradox Interactive,140000
9252,Far Cry: Primal,2016,Action,Ubisoft,140000
9255,Dead Rising 2,2010,Action,Capcom,140000
9291,Dragon Age Origins: Awakening,2010,Role-Playing,Electronic Arts,140000
9306,Battlefield: Hardline,2015,Shooter,Electronic Arts,140000
9316,Red Orchestra 2: Heroes of Stalingrad,2011,Shooter,Tripwire Interactive,140000
9372,Euro Truck Simulator 2,2012,Action,SCS Software,130000
9449,Diablo II,2000,Role-Playing,Havas Interactive,130000
9518,Warcraft III: Reign of Chaos,2002,Strategy,Vivendi Games,130000
9549,Just Cause 2,2010,Action,Square Enix,130000
9571,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,130000
9638,The Stronghold Collection,2009,Strategy,Take-Two Interactive,130000
9678,Sleeping Dogs,2012,Action,Square Enix,120000
9789,Alice: Madness Returns,2011,Adventure,Electronic Arts,120000
9891,ArmA III,2013,Shooter,Bohemia Interactive,120000
9904,Tropico 5,2014,Simulation,Kalypso Media,120000
9948,Lost Horizon,2010,Adventure,Deep Silver,120000
9972,Darkspore,2011,Role-Playing,Electronic Arts,120000
10007,Stronghold,2001,Strategy,Gathering of Developers,110000
10060,Pro Evolution Soccer 2014,2013,Action,Konami Digital Entertainment,110000
10102,Stronghold Kingdoms,2011,Strategy,DTP Entertainment,110000
10160,18 Wheels of Steel: Extreme Trucker 2,2011,Racing,Rondomedia,110000
10167,Project CARS,2015,Racing,Slightly Mad Studios,110000
10176,Machinarium,2009,Adventure,Daedalic,110000
10226,Thief (2014),2014,Action,Square Enix,110000
10248,Call of Juarez: The Cartel,2011,Shooter,Ubisoft,110000
10268,Sonic Generations,2011,Platform,Sega,110000
10349,Tom Clancy's Splinter Cell: Conviction,2010,Action,Ubisoft,110000
10360,The Book of Unwritten Tales,2009,Adventure,HMH Interactive,110000
10464,The Whispered World,2009,Adventure,Deep Silver,100000
10489,Rome: Total War,2004,Strategy,Activision,100000
10574,Doom 3,2004,Shooter,Activision,100000
10593,Total War: WARHAMMER,2016,Strategy,Sega,100000
10598,[Prototype 2],2012,Action,Activision,100000
10645,Harry Potter and the Deathly Hallows - Part 1,2010,Action,Electronic Arts,100000
10653,Harry Potter and the Deathly Hallows - Part 2,2011,Action,Electronic Arts,100000
10693,Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,100000
10694,"Warhammer 40,000: Dawn of War II - Chaos Rising",2010,Strategy,THQ,100000
10697,F1 2014,2014,Racing,Codemasters,100000
10721,Burnout Paradise: The Ultimate Box,2009,Racing,Electronic Arts,100000
10733,Rise of the Tomb Raider,2016,Adventure,Square Enix,100000
10758,Wasteland 2,2015,Role-Playing,inXile Entertainment,100000
10782,Skylanders: Spyro's Adventure,2011,Action,Activision,100000
10818,Halo 2,2007,Shooter,Microsoft Game Studios,100000
10835,Ghostbusters: The Video Game (DS Version),2010,Action,Take-Two Interactive,90000
10838,Angry Birds: Rio,2011,Puzzle,Focus Home Interactive,90000
10840,Risen 3: Titan Lords,2014,Role-Playing,Deep Silver,90000
10841,Dungeons,2011,Strategy,Kalypso Media,90000
10848,Medieval II: Total War,2006,Strategy,Sega,90000
10935,Star Wars: Empire at War - Gold Pack,2007,Strategy,LucasArts,90000
10949,NBA 2K16,2015,Sports,Take-Two Interactive,90000
10952,Black & White 2,2005,Strategy,Electronic Arts,90000
10987,Pro Evolution Soccer 2012,2011,Action,Konami Digital Entertainment,90000
11084,The Sims 2: Apartment Life,2008,Simulation,Electronic Arts,90000
11115,Crysis: Maximum Edition,2009,Shooter,Electronic Arts,90000
11148,RollerCoaster Tycoon 3: Platinum,2005,Strategy,Atari,90000
11149,Age of Mythology,2002,Strategy,Microsoft Game Studios,90000
11160,Star Wars: Empire at War,2006,Strategy,LucasArts,90000
11181,Red Faction: Armageddon,2011,Shooter,THQ,90000
11197,Counter-Strike: Source,2004,Shooter,Valve Software,10090000
11211,Gray Matter,2011,Adventure,DTP Entertainment,90000
11214,Might & Magic Heroes VII,2015,Strategy,Ubisoft,90000
11216,Pro Evolution Soccer 2013,2012,Sports,Konami Digital Entertainment,90000
11230,Edna & Harvey: Harvey's New Eyes,2011,Adventure,Rondomedia,90000
11290,Battlefield 2,2005,Shooter,Electronic Arts,80000
11309,Wildlife Park 3,2011,Simulation,bitComposer Games,80000
11312,Sniper: Ghost Warrior 2,2013,Shooter,City Interactive,80000
11341,X Rebirth,2013,Simulation,Koch Media,80000
11371,Game of Thrones,2012,Role-Playing,Focus Home Interactive,80000
11379,Bejeweled 3,2010,Puzzle,PopCap Games,80000
11390,The Sims 2: Ikea Home Stuff,2008,Simulation,Electronic Arts,80000
11400,Major League Baseball 2K11,2011,Sports,Take-Two Interactive,80000
11466,Wolfenstein: The Old Blood,2015,Action,Bethesda Softworks,80000
11468,The Sims 3: Fast Lane Stuff,2010,Simulation,Electronic Arts,80000
11485,Tomb Raider: Underworld,2008,Action,Eidos Interactive,80000
11487,"Warhammer 40,000: Dawn of War II - Retribution",2011,Strategy,THQ,80000
11515,Silent Hunter III,2005,Simulation,Ubisoft,80000
11521,Serious Sam 3: BFE,2011,Shooter,Mastertronic,80000
11544,The First Templar,2011,Action,Kalypso Media,80000
11572,Need For Speed: Undercover,2008,Racing,Electronic Arts,80000
11592,Minecraft: Story Mode,2015,Adventure,Mojang,80000
11605,Rayman Origins,2012,Platform,Ubisoft,80000
11666,Need for Speed Underground 2,2004,Racing,Electronic Arts,80000
11678,Need for Speed: Most Wanted,2012,Racing,Electronic Arts,80000
11680,The Lord of the Rings: The Battle for Middle-Earth,2004,Strategy,Electronic Arts,80000
11704,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,80000
11721,Divinity II: Ego Draconis,2009,Role-Playing,DTP Entertainment,80000
11748,Torchlight,2009,Role-Playing,JoWood Productions,70000
11794,The Sims 3: Barnacle Bay,2011,Simulation,Electronic Arts,70000
11803,SimCity 4: Deluxe Edition,2003,Simulation,Electronic Arts,70000
11815,Goodbye Deponia,2013,Adventure,Daedalic Entertainment,70000
11869,Pro Farm 1,2011,Simulation,Excalibur Publishing,70000
11879,Dark Souls,2012,Role-Playing,Namco Bandai Games,70000
11900,The Testament of Sherlock Holmes,2012,Adventure,Focus Home Interactive,70000
11918,Operation Flashpoint: Red River,2011,Shooter,Codemasters,70000
11919,F.E.A.R. 2: Project Origin,2009,Shooter,Warner Bros. Interactive Entertainment,70000
11933,Kane & Lynch 2: Dog Days,2010,Shooter,Square Enix,70000
11946,Fable: The Lost Chapters,2005,Role-Playing,Microsoft Game Studios,70000
11957,Football Manager 2010,2009,Sports,Sega,70000
11974,Microsoft Flight Simulator 2004: A Century of Flight,2003,Simulation,Microsoft Game Studios,70000
11979,Emergency 2012,2010,Simulation,Deep Silver,70000
11993,Hearts of Iron III,2009,Strategy,Paradox Interactive,70000
12001,The Sims 2: Seasons,2007,Simulation,Electronic Arts,70000
12007,Battleborn,2016,Shooter,Take-Two Interactive,70000
12049,Assassin's Creed: Rogue,2015,Action,Ubisoft,70000
12068,Command & Conquer 3: Tiberium Wars,2007,Strategy,Electronic Arts,70000
12096,Resident Evil 5,2009,Action,Capcom,70000
12102,GRID 2,2013,Racing,Codemasters,70000
12110,Alan Wake,2012,Action,Nordic Games,70000
12157,Cities XL 2012,2011,Strategy,Focus Home Interactive,70000
12179,Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,70000
12205,TRON: Evolution,2010,Action,Disney Interactive Studios,70000
12229,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,70000
12266,The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,60000
12319,The Book of Unwritten Tales: The Critter Chronicles,2011,Action,Crimson Cow,60000
12334,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,60000
12350,Star Wars Knights of the Old Republic II: The Sith Lords,2005,Role-Playing,LucasArts,60000
12362,Age of Empires Online,2011,Strategy,Microsoft Game Studios,60000
12385,Blur,2010,Racing,Activision,60000
12398,Unreal Tournament III,2007,Shooter,Midway Games,60000
12401,The Next BIG Thing,2011,Adventure,Focus Home Interactive,60000
12410,Call of Duty 2,2005,Shooter,Activision,60000
12417,A New Beginning,2010,Adventure,Deep Silver,60000
12454,S.T.A.L.K.E.R.: Call of Pripyat,2009,Shooter,Namco Bandai Games,60000
12467,The Witcher,2007,Role-Playing,Atari,60000
12479,Sacred 2: Fallen Angel,2008,Role-Playing,Ascaron Entertainment GmbH,60000
12481,Dead Rising 2: Off the Record,2011,Action,Capcom,60000
12494,EverQuest II: Destiny of Velious,2011,Role-Playing,Sony Online Entertainment,60000
12498,Remember Me,2013,Action,Capcom,60000
12528,Syndicate,1992,Strategy,Electronic Arts,60000
12542,Need for Speed: Shift,2009,Racing,Electronic Arts,60000
12543,Zoo Tycoon: Complete Collection,2003,Strategy,Microsoft Game Studios,60000
12549,Create,2010,Action,Electronic Arts,60000
12552,Zoo Tycoon 2,2004,Strategy,Microsoft Game Studios,60000
12574,LEGO Batman: The Videogame,2008,Action,Warner Bros. Interactive Entertainment,60000
12607,pro evolution soccer 2011,2010,Sports,Konami Digital Entertainment,60000
12624,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,Shooter,THQ,60000
12657,The Saboteur,2009,Action,Electronic Arts,60000
12674,The Sims 2: University,2005,Simulation,Electronic Arts,60000
12686,Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,60000
12690,Murdered: Soul Suspect,2014,Action,Square Enix,60000
12705,Mirror's Edge,2009,Platform,Electronic Arts,60000
12718,Titan Quest,2006,Role-Playing,THQ,60000
12732,Dungeon Keeper 2,1999,Action,Electronic Arts,60000
12752,Gothic 3,2006,Role-Playing,JoWood Productions,60000
12764,F1 2010,2010,Racing,Codemasters,60000
12767,The Lost Chronicles of Zerzura,2012,Adventure,DTP Entertainment,60000
12768,Ski Region Simulator,2011,Simulation,Excalibur Publishing,60000
12825,4 Elements,2009,Puzzle,Mastertronic,50000
12828,Airline Tycoon 2,2011,Simulation,Kalypso Media,50000
12831,Medal of Honor: Airborne,2007,Shooter,Electronic Arts,50000
12838,IL-2 Sturmovik: Cliffs of Dover,2011,Simulation,Ubisoft,50000
12862,"Murder, She Wrote",2009,Adventure,Focus Home Interactive,50000
12873,Front Mission Evolved,2010,Shooter,Square Enix,50000
12901,Dark Souls III,2016,Role-Playing,Namco Bandai Games,50000
12903,Tom Clancy's HAWX 2,2010,Action,Ubisoft,50000
12922,Venetica,2009,Role-Playing,DTP Entertainment,50000
